clicked_at,campaign,link_type,tech_id,category,target_url,source_app
2026-08-19T06:34:25,pnuth_newsletter_20260819,smk,10-2026-0086929,기타,https://abcde75163-stack.github.io/TechLetters/pdfs/10-2026-0086929.pdf?utm_source=newsletter&utm_medium=email&utm_campaign=pnuth_newsletter_20260819&tech_id=10-2026-0086929&category=%EA%B8%B0%ED%83%80&link_type=smk,pnuth-newsletter
2026-08-20T01:40:42,pnuth_newsletter_20260819,smk,10-2026-0086929,기계,https://abcde75163-stack.github.io/TechLetters/pdfs/10-2026-0086929.pdf?utm_source=newsletter&utm_medium=email&utm_campaign=pnuth_newsletter_20260819&tech_id=10-2026-0086929&category=%EA%B8%B0%EA%B3%84&link_type=smk,pnuth-newsletter
2026-08-20T01:41:16,pnuth_newsletter_20260819,smk,10-2026-0086929,기계,https://abcde75163-stack.github.io/TechLetters/pdfs/10-2026-0086929.pdf?utm_source=newsletter&utm_medium=email&utm_campaign=pnuth_newsletter_20260819&tech_id=10-2026-0086929&category=%EA%B8%B0%EA%B3%84&link_type=smk,pnuth-newsletter
2026-08-20T01:43:53,pnuth_newsletter_20260819,smk,10-2026-0086929,기계,https://abcde75163-stack.github.io/TechLetters/pdfs/10-2026-0086929.pdf?utm_source=newsletter&utm_medium=email&utm_campaign=pnuth_newsletter_20260819&tech_id=10-2026-0086929&category=%EA%B8%B0%EA%B3%84&link_type=smk,pnuth-newsletter
2026-08-20T01:47:41,pnuth_newsletter_20260820,smk,10-2026-0086929,기계,https://raw.githubusercontent.com/abcde75163-stack/TechLetters/main/pdfs/10-2026-0086929.pdf?utm_source=newsletter&utm_medium=email&utm_campaign=pnuth_newsletter_20260820&tech_id=10-2026-0086929&category=%EA%B8%B0%EA%B3%84&link_type=smk,pnuth-newsletter
2026-08-20T01:50:11,pnuth_newsletter_20260819,smk,10-2026-0086929,기계,https://abcde75163-stack.github.io/TechLetters/pdfs/10-2026-0086929.pdf?utm_source=newsletter&utm_medium=email&utm_campaign=pnuth_newsletter_20260819&tech_id=10-2026-0086929&category=%EA%B8%B0%EA%B3%84&link_type=smk,pnuth-newsletter
2026-08-20T01:54:53,pnuth_newsletter_20260820,smk,10-2026-0086929,정보통신,https://cdn.jsdelivr.net/gh/abcde75163-stack/TechLetters@main/pdfs/10-2026-0086929.pdf?utm_source=newsletter&utm_medium=email&utm_campaign=pnuth_newsletter_20260820&tech_id=10-2026-0086929&category=%EC%A0%95%EB%B3%B4%ED%86%B5%EC%8B%A0&link_type=smk,pnuth-newsletter
